"ColorCombo","RFID","Age","Sex","range_size","total_visits","visits_per_feeder"
"CRY","3B0018A9D4","AHY","M",2,53,26.5
"GDO","3B0048E6CA","Nestling","M",3,151,50.3333333333333
"GDR","3B004CB6E6","HY","",2,19,9.5
"GDW","01103FB6DC","ASY","M",3,83,27.6666666666667
"GNT","3B001883C6","Nestling","M",3,128,42.6666666666667
"GOO","3B0018E0A3","AHY","M",2,149,74.5
"GOS","3B004C6B9D","Nestling","M",2,636,318
"GTR","3B00188B4E","AHY","F",1,7,7
"PBB","01103FE44F","AHY","M",2,642,321
"PBS","01103FDFF0","ASY","",3,44,14.6666666666667
"PLS","01103FE2F4","HY","M",1,88,88
"PND","3B001928F5","Nestling","M",2,32,16
"PNG","3B001A603F","Nestling","M",2,4,2
"PNL","01103FD98F","HY","",2,670,335
"PNP","3B0018EB1F","Nestling","M",2,8,4
"PNW","01103FD948","HY","",2,266,133
"PWB","01103FE63F","HY","",2,107,53.5
"RBP","3B004ABFEC","ASY","M",2,259,129.5
"RBT","3B004C93C0","AHY","M",1,178,178
"RGT","3B0049D277","HY","M",1,155,155
"RLB","3B001945B9","HY","F",1,6,6
"ROO","3B00185D04","HY","M",2,3,1.5
"ROR","3B004CF9FE","Nestling","M",1,72,72
"ROY","3B00188A87","Nestling","M",2,68,34
"RRD","3B00199599","AHY","F",1,39,39
"RRR","3B001923F9","HY","",1,97,97
"RRY","3B00181EC1","HY","",1,96,96
"RSD","3B0019BFB3","HY","M",2,219,109.5
"RTP","3B004BD399","Nestling","M",1,16,16
"RTT","3B004AB1C5","Nestling","F",2,87,43.5
"SDO","3B0018F001","HY","M",1,89,89
"SGB","3B0018CD5D","HY","F",1,510,510
"SOG","3B0049A289","Nestling","M",1,50,50
"SOT","3B004A6285","Nestling","M",2,39,19.5
"SRP","3B0018EC83","AHY","F",3,152,50.6666666666667
"STT","3B0018533D","HY","M",1,467,467
"SWB","3B00181213","Nestling","M",1,96,96
"SWS","3B001861A5","HY","F",1,37,37
"SWT","3B001895C2","HY","",1,76,76
"SYO","3B00182DEE","HY","",2,174,87
"SYR","3B00187685","AHY","",1,274,274
"SYT","3B001830DC","HY","",2,235,117.5
"WBO","3B0049B659","ASY","M",2,51,25.5
"WBT","3B0018E4BF","AHY","M",4,154,38.5
"WDG","3B0018F82F","Nestling","M",1,36,36
"WDN","3B0018865D","Nestling","",2,186,93
"WDW","3B0018C3A8","Nestling","M",2,71,35.5
"WOG","3B004A2DCF","HY","M",4,178,44.5
"WSY","3B0018C80F","AHY","F",4,175,43.75
"WWB","3B00192917","Nestling","",1,37,37
"WWD","3B0018CDF8","Nestling","M",3,202,67.3333333333333
"WYD","3B0018DEB4","Nestling","M",2,4,2
"YBN","3B004BE2AA","Nestling","M",2,213,106.5
"YBT","3B00194A12","Nestling","M",3,110,36.6666666666667
"YBY","3B00495EB3","Nestling","M",3,105,35
"YDD","3B004C1826","HY","F",5,39,7.8
"YDD","3B0018377D","HY","M",5,39,7.8
"YDP","3B0048A9FA","ASY","",2,52,26
"YDT","3B001A8B04","Nestling","M",2,61,30.5
"YDW","3B00199C4C","HY","M",2,50,25
"YGD","3B004CFD93","AHY","M",2,145,72.5
"YGY","3B001A79FF","Nestling","M",1,205,205
"YND","3B00498105","AHY","",1,36,36
"YNO","3B0018EB29","Nestling","M",2,26,13
"YOP","3B004903AB","Nestling","M",2,2,1
"YPS","3B004BE753","HY","",2,89,44.5
"YPW","3B004BE7FF","HY","",1,145,145
"YRP","3B004B383D","Nestling","",2,15,7.5
"YWD","3B004C7D1E","AHY","F",3,57,19
"YWS","3B004A2BC1","Nestling","M",2,101,50.5
