"RFID","ColorCombo","Sex","Age","Feeders"
"3B00187685","SYR","","AHY","C"
"3B00498105","YND","","AHY","O"
"3B00188B4E","GTR","F","AHY","S"
"3B00199599","RRD","F","AHY","A"
"3B0018EC83","SRP","F","AHY","P, Q, R"
"3B0018C80F","WSY","F","AHY","F, G, H, I"
"3B004C7D1E","YWD","F","AHY","C, D, F"
"3B0018A9D4","CRY","M","AHY","R, S"
"3B0018E0A3","GOO","M","AHY","H, I"
"01103FE44F","PBB","M","AHY","P, Q"
"3B004C93C0","RBT","M","AHY","C"
"3B0018E4BF","WBT","M","AHY","C, D, E, F"
"3B004CFD93","YGD","M","AHY","H, I"
"01103FDFF0","PBS","","ASY","O, P, Q"
"3B0048A9FA","YDP","","ASY","D, E"
"01103FB6DC","GDW","M","ASY","K, L, M"
"3B004ABFEC","RBP","M","ASY","C, D"
"3B0049B659","WBO","M","ASY","N, O"
"3B004CB6E6","GDR","","HY","R, S"
"01103FD98F","PNL","","HY","P, Q"
"01103FD948","PNW","","HY","D, E"
"01103FE63F","PWB","","HY","C, D"
"3B001923F9","RRR","","HY","A"
"3B00181EC1","RRY","","HY","A"
"3B001895C2","SWT","","HY","A"
"3B00182DEE","SYO","","HY","B, C"
"3B001830DC","SYT","","HY","C, D"
"3B004BE753","YPS","","HY","E, F"
"3B004BE7FF","YPW","","HY","R"
"3B001945B9","RLB","F","HY","M"
"3B0018CD5D","SGB","F","HY","R"
"3B001861A5","SWS","F","HY","N"
"3B004C1826","YDD","F","HY","G"
"01103FE2F4","PLS","M","HY","E"
"3B0049D277","RGT","M","HY","R"
"3B00185D04","ROO","M","HY","M, N"
"3B0019BFB3","RSD","M","HY","C, D"
"3B0018F001","SDO","M","HY","A"
"3B0018533D","STT","M","HY","R"
"3B004A2DCF","WOG","M","HY","F, G, H, I"
"3B0018377D","YDD","M","HY","I, J, K, L"
"3B00199C4C","YDW","M","HY","H, I"
"3B0018865D","WDN","","Nestling","Q, R"
"3B00192917","WWB","","Nestling","H"
"3B004B383D","YRP","","Nestling","I, J"
"3B004AB1C5","RTT","F","Nestling","R, S"
"3B0048E6CA","GDO","M","Nestling","O, P, Q"
"3B001883C6","GNT","M","Nestling","P, Q, R"
"3B004C6B9D","GOS","M","Nestling","B, C"
"3B001928F5","PND","M","Nestling","K, L"
"3B001A603F","PNG","M","Nestling","K, L"
"3B0018EB1F","PNP","M","Nestling","K, M"
"3B004CF9FE","ROR","M","Nestling","N"
"3B00188A87","ROY","M","Nestling","N, O"
"3B004BD399","RTP","M","Nestling","E"
"3B0049A289","SOG","M","Nestling","E"
"3B004A6285","SOT","M","Nestling","D, E"
"3B00181213","SWB","M","Nestling","C"
"3B0018F82F","WDG","M","Nestling","S"
"3B0018C3A8","WDW","M","Nestling","Q, R"
"3B0018CDF8","WWD","M","Nestling","P, Q, R"
"3B0018DEB4","WYD","M","Nestling","R, S"
"3B004BE2AA","YBN","M","Nestling","F, H"
"3B00194A12","YBT","M","Nestling","N, O, P"
"3B00495EB3","YBY","M","Nestling","N, O, P"
"3B001A8B04","YDT","M","Nestling","F, G"
"3B001A79FF","YGY","M","Nestling","O"
"3B0018EB29","YNO","M","Nestling","R, S"
"3B004903AB","YOP","M","Nestling","L, M"
"3B004A2BC1","YWS","M","Nestling","F, G"
