"from","to","weight"
"CRY","GDR",2
"CRY","YNO",2
"GDO","PBS",2
"GNT","SRP",7
"GNT","WWD",2
"GOO","YGD",12
"PBB","PNL",15
"PNL","PBB",28
"PNW","SOG",2
"PNW","SOT",2
"PNW","YDP",2
"PWB","SWB",3
"PWB","SYR",2
"RBP","RSD",6
"RBP","SYT",5
"RBT","PWB",2
"RBT","SWB",2
"RBT","SYO",4
"RBT","SYR",6
"RBT","SYT",2
"RGT","SGB",4
"RGT","STT",7
"RGT","YPW",3
"ROY","WBO",4
"RRD","RRR",3
"RRR","RRY",3
"RRR","SDO",4
"RRY","RRR",4
"RSD","RBP",13
"RSD","SYT",4
"SDO","RRD",2
"SDO","RRR",4
"SDO","RRY",5
"SGB","RGT",7
"SGB","STT",27
"SGB","YPW",3
"SOG","PNW",3
"SOG","YDP",2
"SRP","GNT",4
"SRP","WDN",2
"STT","RGT",8
"STT","SGB",38
"STT","YPW",8
"SWB","PWB",6
"SYO","RBT",6
"SYO","SYR",6
"SYR","RBT",7
"SYR","SYO",8
"SYT","RBP",8
"SYT","RSD",9
"WDN","GNT",3
"WDN","WWD",2
"WDW","SRP",3
"WDW","WWD",2
"WOG","WSY",4
"WOG","YBN",7
"WSY","WOG",5
"WSY","YBN",4
"WWD","GNT",2
"WWD","SRP",2
"YBN","WOG",2
"YDP","PNW",4
"YDT","YWS",2
"YGD","GOO",9
"YNO","GDR",2
"YPS","PLS",3
"YPW","SGB",8
"YPW","STT",8
"YWD","WBT",4
